"Protein","Count_ABP","Count_Comp","Count_NP","Mean_ABP","Mean_Comp","Mean_NP","Fold_change_ABP_vs_Comp","Fold_change_ABP_vs_NP","Fold_change_Comp_vs_NP","P_value_A_ABP_vs_Comp","P_value_A_ABP_vs_NP","P_value_A_Comp_vs_NP","Flag_A_ABP_vs_Comp","Flag_A_ABP_vs_NP","Flag_A_Comp_vs_NP"
"tr|F1LW22|F1LW22_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|M0R3Z4|M0R3Z4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|B5DFK6|B5DFK6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|G3V9G8|G3V9G8_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|F1M927|F1M927_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0U1RRU0|A0A0U1RRU0_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P55016|S12A1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9WTY8|ZBT10_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|F1M8I4|F1M8I4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|G3V9A3|G3V9A3_RAT",3,3,0,1.93430974634396,1.48014891608251,NA,0.454160830261452,NA,NA,0.309450258045265,NA,NA,0,0,0
"sp|P04905|GSTM1_RAT",3,3,0,2.00228394748288,1.54799731335189,NA,0.454286634130993,NA,NA,0.0467166849096347,NA,NA,1,0,0
"sp|P07335|KCRB_RAT",3,3,1,2.40829661823326,1.7147058116978,-0.832805450318951,0.693590806535459,3.24110206855221,2.54751126201675,0.142988798853989,0.00385530255364221,0.00913726064455402,0,1,1
"tr|B4F7C2|B4F7C2_RAT",3,3,2,4.42190092069736,3.9490228590453,-1.72514453694839,0.472878061652059,6.14704545764575,5.67416739599369,0.349290917853913,7.08545957124794e-05,0.0001044186078129,0,1,1
"sp|P36972|APT_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K8S2|A0A0G2K8S2_RAT",3,3,3,2.43287705124839,2.0070772106577,-4.47730766278198,0.425799840590692,6.91018471403037,6.48438487343968,0.638215186798028,0.000198881567926508,0.000282623597011302,0,1,1
"sp|Q66HG8|RED_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
